tic,conm,cik,sic
BRL,BARR PHARMACEUTICALS INC,10081,2834
BARR,BARRINGER TECHNOLOGIES,10119,3829
3BASEA,BASE TEN SYSTEMS  -CL A,10242,9995
ESTE,EARTHSTONE ENERGY INC,10254,1311
BSET,BASSETT FURNITURE INDS,10329,2511
BAX,BAXTER INTERNATIONAL INC,10456,3841
BGC.2,BAY STATE GAS,10488,4923
BBNK.,BAYBANKS INC,10497,6020
BAYLQ,BAYLY CORP,10518,2320
BDX,BECTON DICKINSON & CO,10795,3841
3CRLH,CARLYLE INDUSTRIES INC,11027,3960
BMS,BEMIS CO INC,11199,2670
BENG,BENGUET CORP,11290,1000
BTHS,BENTHOS INC,11390,3812
BBC.1,BERGEN BRUNSWIG CORP  -CL A,11454,5122
WRB,BERKLEY (W R) CORP,11544,6331
BESOQ,BEST PRODUCTS,11821,5399
BEHP,BETHLEHEM CORP,11856,3567
3BHMSQ,BETHLEHEM STEEL CORP,11860,3312
BTL.1,BETZDEARBORN INC,11884,2890
BEVB.1,BEVERLY BANCORPORATION INC,11913,6020
BIC.,BIC CORP,11975,3950
BDL,FLANIGANS ENTERPRISES INC,12040,5812
SMCO.1,SAMES CORP,12180,3560
BIO,BIO-RAD LABORATORIES INC,12208,3826
DOMH,DOMINARI HOLDINGS INC,12239,6282
BIRD.1,BIRD CORP,12245,2950
BIRT.1,BIRTCHER MEDICAL SYSTEMS,12288,3845
3BISHE,BISHOP INC,12304,7373
BDK,BLACK & DECKER CORP,12355,3540
BLAK.,BLACK INDUSTRIES INC,12404,1623
LEXPQ,LEXINGTON PRECISION CORP,12570,3060
BCO.1,BLESSINGS CORP,12614,3081
BLOCA,BLOCK DRUG  -CL A,12654,2844
HRB,BLOCK H & R INC,12659,7200
BA,BOEING CO,12927,3721
BOHM,BOHEMIA INC,12960,2421
OMX,OFFICEMAX INC,12978,5110
RXC,CIRCA PHARMACEUTICALS INC,13006,2834
BBN.1,BBN CORP,13021,7373
KJFI,COMJOYFUL INTERNATIONAL CO,13033,9995
3BOON,BOONTON ELECTRONICS CORP,13191,3825
0141A,HEXION INC,13239,2821
3BDTL,BOSTON DIGITAL CORP,13370,3541
REXMY,REXAM PLC,13522,3411
ENTP,ENTRPRIZE CORP,13547,1700
BWL.A,BOWL AMERICA INC  -CL A,13573,7900
WEDC,WHITE ELECTRONIC DESIGNS CP,13606,3674
BNE.1,BOWNE & CO INC,13610,2750
BTR.1,BRADLEY REAL ESTATE INC,13777,6798
BRAL10,BRL ENTERPRISES INC,13824,6799
BBTF,BB&T FINANCIAL CORP,13839,6020
BREN,BRENCO INC,14029,3562
BRBK,BRENTON BANKS INC,14060,6020
BRID,BRIDGFORD FOODS CORP,14177,2013
BGGSQ,BRIGGS & STRATTON,14195,3510
BRIFE,BRILUND LTD,14231,1311
BMY,BRISTOL-MYERS SQUIBB CO,14272,2834
MSGI,MSGI SECURITY SOLUTIONS INC,14280,3679
BKE.,BROCK EXPLORATION CORP,14399,1311
BBKS,BOBBIE BROOKS INC,14537,3531
BNSSA,BNS HOLDING CO,14637,3713
BF.B,BROWN FORMAN CORP,14693,2085
CAL,CALERES INC,14707,5661
TBI.,BROWN (TOM) INC,14803,1311
BFI.,BROWNING-FERRIS INDS,14827,4953
BRT,BRT APARTMENTS CORP,14846,6798
BRNO20,BRUNOS INC,14920,5411
BC,BRUNSWICK CORP,14930,3510
DXT,DIXON TICONDEROGA CO,14995,3950
8695B,BUNKER HILL INC SEC,15345,6726
MTCC,MAGNETIC TECHNOLOGIES CORP,15354,3679
FRTN,FORTRAN CORP,15486,3661
MTZ,MASTEC INC,15615,1623
EMEX,EMEX CORP,15678,1311
BBR.,BUTLER MFG CO,15840,3448
BUKS,BUTLER NATIONAL CORP,15847,8741
CBT,CABOT CORP,16040,2890
CACI,CACI INTL INC  -CL A,16058,7373
LUB,LUBYS INC,16099,5812
CAGAQ,CAGLE'S INC  -CL A,16104,2015
CALM,CAL-MAINE FOODS INC,16160,200
ADAP.1,ADAPTIVE BROADBAND CORP.,16357,3663
CMN.3,CALLAHAN MINING CORP,16455,3050
CLPO,CALPROP CORP,16496,1531
CBEX,CAMBEX CORP,16590,3572
CAFI.,CAMCO FINANCIAL CORP,16614,6036
CPB,CAMPBELL'S CO (THE),16732,2030
EGR.1,EARTHGRAINS CO,16741,2050
CSPLF,CANADA SOUTHERN PETROLEUM,16804,1311
SRL,SCULLY ROYALTY LTD,16859,1000
CNI,CANADIAN NATIONAL RAILWAY CO,16868,4011
NXY,NEXEN INC,16873,1311
CP,CANADIAN PAC KANSAS CITY LTD,16875,4011
STZ,CONSTELLATION BRANDS,16918,2082
3MAGEE,MADISON GROUP ASSOC INC,16926,3949
CAJPY,CANON INC,16988,3577
CCB.2,CAPITAL CITIES/ABC INC,17109,4833
PVN.2,PROVIDIAN CORP,17206,6311
CSWC,CAPITAL SOUTHWEST CORP,17313,6797
CATA.,CAPITOL TRANSAMERICA CORP,17385,6331
LBMH,LIBERATOR MEDICAL HLDGS INC,17485,5912
CRS,CARPENTER TECHNOLOGY CORP,17843,3312
CAR.1,CARTER-WALLACE INC,18000,2844
CASC.2,CASCADE CORP,18061,3537
CGC.2,CASCADE NATURAL GAS CORP,18072,4924
DOLE.1,DOLE FOOD CO INC,18169,100
CTAM,CASTLE (A M) & CO,18172,5051
CVF.1,CASTLE CONVERTIBLE FUND INC,18180,6726
CAT,CATERPILLAR INC,18230,3531
CATO,CATO CORP  -CL A,18255,5621
SNV,SYNOVUS FINANCIAL CORP,18349,6020
CBS.1,CBS INC,18366,4833
CDI,CDI CORP,18396,7363
3CCOO,CENCOR INC,18497,6141
GCO,GENESCO INC,18498,5661
FOM,FOREMOST CORP OF AMERICA,18508,6331
CTX.2,CENTEX CORP,18532,1531
CSR.1,CENTRAL & SOUTH WEST CORP,18540,4911
CET,CENTRAL SECURITIES CORP,18748,6726
CNT.4,CENTEL CORP,18787,4813
CV.1,CENTRAL VERMONT PUB SERV,18808,4911
EKO.2,EKCO GROUP INC,18827,3460
CRLTS,CENTURY REALTY TRUST,18914,6798
LUMN,LUMEN TECHNOLOGIES INC,18926,4813
CRDN,CERADYNE INC,18937,3290
CYDI,CYBRDI INC,19002,2835
3CFIPQ,CF & I STEEL CORP,19020,3312
3CLCOE,CHALCO INDUSTRIES INC,19082,3728
CHMP,CHAMPION INDUSTRIES INC,19149,2750
CHA.3,CHAMPION INTERNATIONAL CORP,19150,2621
CREB,CHAMPION PARTS INC,19161,3714
CHAR.1,CHAPARRAL RESOURCES INC,19252,1311
CHRS.1,CHARMING SHOPPES INC,19353,5621
MGLN,MAGELLAN HEALTH INC,19411,8741
CMD,CANTEL MEDICAL CORP,19446,3845
CMB.1,CHASE MANHATTAN CORP  -OLD,19489,6020
CHTT,CHATTEM INC,19520,2834
CHE,CHEMED CORP,19584,8082
TCF,TCF FINANCIAL CORP,19612,6020
JPM,JPMORGAN CHASE & CO,19617,6020
