tic,conm,cik,sic
USCR,U S CONCRETE INC,1073429,3270
LIFE.3,LIFE TECHNOLOGIES CORP,1073431,2836
CZFC,CITIZENS FIRST CORP,1073475,6020
3STUA,STUDENT ADVANTAGE INC,1073508,8600
THER.1,THERASENSE INC,1073695,3841
KOOP,DRKOOP.COM INC,1073794,7370
CIL.1,MUNIHOLDINGS CAL INSD FD IV,1073912,6726
MFR.1,MUNIHOLDINGS FLA INSD FD IV,1073913,6726
MCG.2,MUNIHOLDINGS MICH INSD FUND,1073915,6726
ACAMY,ACAMBIS PLC,1073965,2836
SRNA.1,SERENA SOFTWARE INC,1073967,7372
PCT910,PROPERTY CAPITAL TRUST INC,1073973,6798
VNCP,VALLEY NATIONAL CORP ARIZONA,1074011,6020
FSBC.1,1ST STATE BANCORP INC,1074078,6020
PCNTF,PACIFIC INTERNET LTD,1074245,7370
ALBY,COMMUNITY CAPITAL BANCSHARES,1074369,6020
BYDC,BOYDS COLLECTION LTD,1074530,3942
MNJ,MUNIHOLDINGS N J INSD FD III,1074536,6726
MPI.3,MUNIHOLDINGS PENN INS FD,1074537,6726
EVN,EATON VANCE MUNI INCOME TR,1074540,6726
FBPI,FIRST BANCORP INDIANA INC,1074543,6020
ROWE,ROWECOM INC,1074676,5961
RAC.2,RAMPART CAPITAL CORP,1074681,6159
FEV,EATON VANCE NATL MUNI INC,1074684,6726
EVY,EATON VANCE NY MUNI INC TR,1074685,6726
EVO.1,EATON VANCE OH MUNI INC TR,1074686,6726
EVP,EATON VANCE PA MUNI INC TR,1074687,6726
EMI.3,EATON VANCE MI MUNI INC TR,1074688,6726
MMV.1,EATON VANCE MA MUNI INC TR,1074690,6726
EVJ,EATON VANCE NJ MUNI INC TR,1074691,6726
CEV,EATON VANCE CA MUNI INC TR,1074692,6726
IVIL,IVILLAGE INC,1074767,7370
NAN,NUVEEN NY QUAL MUN INCM FD,1074769,6726
TRI.Z,TRIAD HOSPITALS INC,1074771,8062
USBC,USBC INC,1074828,3845
MODD,MODULAR MEDICAL INC,1074871,3841
DIOMQ,DIOMED HOLDINGS INC,1074874,3842
LCNB,LCNB CORP,1074902,6020
3VMIQE,VALLEY MEDIA INC,1074908,5099
FABU,FAB UNIVERSAL CORP,1074909,5099
LOAX,LOG ON AMERICA INC,1074927,7370
NAC,NUVEEN CA QLTY MU INCM FD,1074952,6726
CCBT,CCBT FINANCIAL COMPANIES INC,1074972,6020
TRYF.,TROY FINANCIAL CORP,1075046,6035
VAST,VASTERA INC,1075056,7372
MODTQ,MODTECH HOLDINGS INC,1075066,2452
RAZF,RAZORFISH INC,1075088,7370
TRI,THOMSON-REUTERS CORP,1075124,7370
3HSAC,HIGH SPEED ACCESS CORP,1075244,7370
BOUT.,ABOUT.COM INC,1075314,7370
WEBT.,WEBTRENDS CORP,1075316,7372
NCRI,NCRIC GROUP INC,1075343,6351
FFSX,FIRST FED BANKSHARES INC,1075348,6035
DHC,DIVERSIFIED HEALTHCARE TRUST,1075415,6798
ONEM.1,ONEMAIN.COM INC,1075530,7370
BKNG,BOOKING HOLDINGS INC,1075531,4700
TCP,TC PIPELINES LP,1075607,6799
IGOI,IGO INC,1075656,3577
3STOR,STORAGENETWORKS INC,1075658,7389
CIZN,CITIZENS HOLDING CO,1075706,6020
CERT.1,CERTICOM CORP,1075710,7373
CXDO,CREXENDO INC,1075736,7370
KZIA,KAZIA THERAPEUTICS LIMITED,1075880,2834
BBSW,BROADBASE SOFTWARE,1076016,7372
MTHRZ,MOTHERNATURE.COM INC,1076055,5961
ADLR,ADOLOR CORP,1076167,2834
LTM.2,LIFE TIME FITNESS INC,1076195,7997
CX,CEMEX S A B DE C V,1076378,3241
CEBK,CENTRAL BANCORP INC/MA,1076394,6020
PBG,PEPSI BOTTLING GROUP INC,1076405,2086
CTIX.,CHEAP TICKETS INC,1076411,4700
SQNM,SEQUENOM INC,1076481,8071
LAUN,LAUNCH MEDIA INC,1076582,7370
NIKU,NIKU CORP,1076641,7372
BWAY.2,BREAKAWAY SOLUTIONS INC,1076643,7373
RGTPQ,REGENETP INC,1076682,2836
USIXQ,USINTERNETWORKING INC,1076732,7372
CDCAQ,CDC CORP,1076770,7372
NOVT,NOVANTA INC,1076930,3679
SKBI,SKYSTAR BIO-PHARMACEUTICAL,1076939,2834
AWEB.,AUTOWEB.COM INC,1077009,7370
NEO,NEOGENOMICS INC,1077183,8071
3NTWO,N2H2 INC,1077301,7370
PRZM,PRISM TECHNOLOGIES GROUP INC,1077370,7370
TCBI,TEXAS CAPITAL BANCSHARES INC,1077428,6020
TVF,TEMPLETON VIETNAM SE ASIA FD,1077522,6726
GETI,GENTEK INC,1077552,2810
OBAS,OPTIBASE LTD,1077618,6512
LABK,LAFAYETTE AMERN BANK & TRUST,1077630,6020
IAGI,IA GLOBAL INC,1077634,7389
SNSGF,SENSE TECHNOLOGIES INC,1077638,3812
HOFT,HOOKER FURNISHINGS CORP,1077688,2510
BLUE.2,BLUE MARTINI SOFTWARE INC,1077814,7372
ADBL,AUDIBLE INC,1077926,7389
PCAGY,PRIMACOM AG,1077945,4841
ALFO,ALFORD REFRIGERATED WHSES,1078006,4220
MPPP,MP3.COM INC,1078073,7370
NTCT,NETSCOUT SYSTEMS INC,1078075,7373
MEET,MEET GROUP INC (THE),1078099,7370
SIDGQ,STAMFORD INDUSTRIAL GROUP,1078203,3490
BFXXQ,BOWFLEX INC,1078207,3949
SMNS,SEMINIS INC,1078259,100
EXTR,EXTREME NETWORKS INC,1078271,3576
MIHL.,MIH LTD,1078276,4841
MQST,MAPQUEST.COM INC,1078284,7370
MRBA,MARIMBA INC,1078295,7372
IPT,IPARTY CORP,1078383,5990
ARDTQ,ARDENT COMMUNICATIONS INC,1078404,4899
LATD,LATITUDE COMMUNICATIONS INC,1078425,7373
ATHYQ,APPLIEDTHEORY CORP,1078577,7370
HEARZ,HEARME,1078693,7370
SSPX.1,SSP SOLUTIONS INC,1078717,7373
TPNHY,TPN HOLDINGS PLC  -ADR,1078749,7370
IIAA,INFOINTERACTIVE INC,1078982,4813
VSEA,VARIAN SEMICONDUCTOR EQUIPMT,1079023,3559
VARI,VARIAN INC,1079028,3826
NTLNF,NORTHCORE TECHNOLOGIES INC,1079171,7372
NMK,NIAGARA MOHAWK HOLDINGS INC,1079182,4931
LFMN,LIFEMINDERS INC,1079270,7331
SNRAY,SONERA OYJ,1079286,4812
CBN.1,CORNERSTONE BANCORP INC -OLD,1079385,6020
BIZZ.,BIZNESSONLINE.COM INC,1079406,7370
SILK.1,SILKNET SOFTWARE INC,1079451,7372
SFG,STANCORP FINANCIAL GROUP INC,1079577,6321
GFME,GEORGE FOREMAN ENTERPRISES,1079786,5047
ONES,ONESOURCE INFORMATION SVCS,1079880,7370
QUOT.2,LIFE QUOTES INC,1079996,6411
INVA,INNOVIVA INC,1080014,2836
MYDP,DOUGHERTYS PHARMACY INC,1080029,5912
CNVR,CONVERSANT INC,1080034,7370
TST,THESTREET INC,1080056,7370
DMHYY,DUCATI MOTOR HOLDING SPA,1080063,3751
LVWD,LIVEWORLD INC,1080088,7370
INFA.1,INFORMATICA CORP,1080099,7372
INET,INTERNET BRANDS INC,1080131,7370
DABR,DAVIDS BRIDAL INC,1080187,5621
AZX,AZURIX CORP,1080205,4941
EDGR,EDGAR ONLINE INC,1080224,7370
TCLRY,VANTIVA SA,1080259,3663
SJKI,ST JOHN KNITS INTL INC,1080280,2253
CDDDQ,CONSTELLATION 3D INC,1080290,3577
PRSF.,PORTAL SOFTWARE INC,1080306,7372
LOAN,MANHATTAN BRIDGE CAPITAL INC,1080340,6798
SFN910,GRUPO FINANCIERO SERFIN SA,1080343,6020
ALOY,ALLOY INC,1080359,7310
CVVT,CHINA VALVES TECHNOLOGY INC,1080360,3490
NPNTQ,NORTHPOINT COMMUNICATIONS GP,1080558,4899
SQFT,PRESIDIO PROPERTY TRUST INC,1080657,6798
DITC,DITECH NETWORKS INC,1080667,3663
ARNA,ARENA PHARMACEUTICALS INC,1080709,2836
GUT,GABELLI UTILITY TRUST,1080720,6726
GWAY,GREENWAY MEDICAL TECH INC,1080747,7373
AIMG,AIMGLOBAL TECHNOLOGIES INC,1080784,8711
TKCI.,KEITH COMPANIES INC,1080922,8711
3TKZA,TIKAL RESOURCES CORP,1080926,1311
WFHCQ,WOMEN FIRST HEALTHCARE,1081004,5122
NXCDQ,NEXTCARD INC,1081015,6141
DELTF,DELTA GALIL INDUSTRIES LTD,1081022,2340
ATNY,API TECHNOLOGIES CORP,1081078,3674
CLIC,CALICO COMMERCE INC,1081154,7372
MDCM,MORTGAGE.COM INC,1081182,6162
GSPN.,GLOBESPANVIRATA INC,1081197,3674
FASH,FASHIONMALL.COM,1081202,5961
CTFO,CHINA TRANSINFO TECHNOLOGY,1081206,7373
JOREQ,JORE CORP,1081207,3540
RBAK,REDBACK NETWORKS INC,1081290,7373
BRK1,BERKSHIRE HATHAWAY ENERGY CO,1081316,4991
PRFN.1,PRISM FINANCIAL CORP,1081389,6162
ZIPL,ZIPLINK INC,1081393,7370
SCNT.,SCIENT CORP,1081394,7370
NCNTQ,NETCENTIVES INC,1081404,7389
APLN.,ATPLAN INC,1081614,7370
HGAT,HEALTHGATE DATA CORP,1081630,7370
EASY.1,EASYLINK SERVICES CP  -CL A,1081661,7370
NASC.1,NETWORK ACCESS SOLUTIONS CP,1081665,4899
INLX,INTELLINETICS INC,1081745,7372
CONEQ,CARRIER1 INTERNATIONAL SA,1081824,4813
THDS,3DSHOPPING .COM,1081920,7330
CARI.1,CAREINSITE INC,1082000,7370
DRRX,DURECT CORP,1082038,2834
BWEBF,BACKWEB TECHNOLOGIES LTD,1082064,7372
BRKC.1,BROOKE CAPITAL CORP,1082084,6411
ZANYQ,ZANY BRAINY INC,1082193,5945
VHC,VIRNETX HOLDING CORP,1082324,7372
EELN,E-LOAN INC,1082337,6162
BOFLQ,BANK OF FLORIDA CORP,1082368,6020
3VLCY,VIEWLOCITY INC,1082397,7372
RUBO,RUBIO'S RESTAURANTS INC,1082423,5812
LQNT,LIQUENT INC,1082456,7372
IFCB,INTEGRITY FINANCIAL CORP,1082471,6020
TFINQ,TEAM FINANCIAL INC,1082484,6020
UIL,UIL HOLDINGS CORP,1082510,4931
SQI,SCIQUEST INC,1082526,7372
UTHR,UNITED THERAPEUTICS CORP,1082554,2834
FCFL,FIRST CMNTY BK CORP AMER,1082564,6036
LINE.1,ONLINETRADINGINC.COM INC,1082690,6211
GAFC.1,GREATER ATLANTIC FINANCIAL,1082735,6035
TMH.1,TEAM HEALTH HOLDINGS INC,1082754,7361
MYPT,MYPOINTS.COM INC,1082797,7331
3TJOB,TOPJOBS.NET PLC  -ADR,1082802,7370
STMP,STAMPS.COM INC,1082923,7370
SRCH.1,US SEARCH.COM INC,1083087,7370
IMMCQ,IMMUNICON CORP/DE,1083132,2835
XELB,XCEL BRANDS INC,1083220,5961
SKCB,SKYLANDS FINANCIAL CORP,1083286,6020
WULF,TERAWULF INC,1083301,7370
ONCP,XXIS CORP,1083384,7812
ASTH,ASTRANA HEALTH INC,1083446,8090
JSDA,JONES SODA CO,1083522,2086
MSR.3,MUNIHOLDINGS INSD FD III INC,1083536,6726
FBSS,FAUQUIER BANKSHARES INC,1083643,6020
SOCB,SOUTHCOAST FINANCIAL CORP,1083689,6020
MECK,MECKLERMEDIA CORP,1083712,7389
FLUX,FLUX POWER HOLDINGS INC,1083743,3690
THVW,THERMOVIEW INDUSTRIES INC,1083753,3089
NAD,NUVEEN QUALITY MUNI INCM FD,1083839,6726
EGRT.,EGREETINGS NETWORK INC,1083992,7310
ZD,ZIFF DAVIS INC,1084048,7370
WOLVQ,NETWOLVES CORP,1084103,4899
RAMP.1,RAMP NETWORKS INC,1084145,7373
SVA,SINOVAC BIOTECH LTD,1084201,2836
PAS,PEPSIAMERICAS INC,1084230,2086
MOBQ,MOBIQUITY TECHNOLOGIES INC,1084267,7310
CAN.3,AMERICAN NATL CAN GROUP INC,1084304,3411
ISLD.,DIGITAL ISLAND INC,1084329,7385
SLNM,SALON MEDIA GROUP INC,1084332,7370
TEUM,PARETEUM CORP,1084384,7370
PRSW,PERSISTENCE SOFTWARE INC,1084400,7372
VRTS.1,VERITAS SOFTWARE CORP,1084408,7372
1215B,INSIGHT COMMUNICATIONS CO,1084421,4841
NFNT.1,NFRONT INC,1084482,7370
MHJ.,MUNIHOLDINGS NJ INSD FD IV,1084496,6726
MNW,MUNIHOLDINGS NY INSD FD IV,1084498,6726
CAF.3,MUNIHOLDINGS CAL INSD FD V,1084500,6726
FDM.1,MUNIHOLDINGS FLA INSD FD V,1084502,6726
YAKC,YAK COMMUNICATIONS INC,1084544,4813
LTBR,LIGHTBRIDGE CORP,1084554,2860
RSTR,RSTAR CORP,1084561,7373
ENGA.,ENGAGE INC,1084573,7372
CYRNQ,CYREN LTD,1084577,7370
LUK2,JEFFERIES GROUP LLC,1084580,6211
3TSIXQ.1,360NETWORKS INC,1084587,4899
WOMN.1,WOMEN.COM NETWORKS INC,1084609,7310
PCBK,PACIFIC CONTINENTAL CORP,1084717,6020
ZOOXQ,GADZOOX NETWORKS INC,1084722,3576
MEDT.1,MEDSOURCE TECHNOLOGIES INC,1084726,3841
NXTYQ,NEXITY FINANCIAL CORP,1084727,6020
NAVI.1,NAVISITE INC,1084750,7374
INVT,INVENTERGY GLOBAL INC,1084752,6794
ARBA,ARIBA INC,1084755,7372
RGP,RESOURCES CONNECTION INC,1084765,8742
MKTG,RESPONSYS INC,1084817,7372
NTIQ,NETIQ CORP,1084827,7372
BFRE.,BE FREE INC,1084866,7373
FLWS,1-800-FLOWERS.COM,1084869,5961
RAE,RAE SYSTEMS INC,1084876,3829
WHCI,W HOLDING CO INC,1084887,6020
ECPG,ENCORE CAPITAL GROUP INC,1084961,6153
ABVV,ABVIVA INC,1084966,3841
NGS,NATURAL GAS SERVICES GROUP,1084991,7359
EFNT,EFFICIENT NETWORKS INC,1085061,3661
TWE,TD WATERHOUSE GROUP INC,1085095,6211
3DIGX,DIGEX INC,1085098,7370
SWBD,SWITCHBOARD INC,1085223,7310
VTSI,VIRTRA INC,1085243,3690
TIBX,TIBCO SOFTWARE INC,1085280,7372
BPO1,BROOKFIELD OFFICE PPTYS INC,1085359,6512
5495B,PUGET ENERGY INC,1085392,4931
TWB,TWEEN BRANDS INC,1085482,5600
ILND.,INTERLAND INC-OLD,1085586,7370
ACTA,ACTUA CORP,1085621,9995
VOYN,VOYAGER.NET INC,1085634,7370
CENF,CENTRAL FREIGHT LINES INC,1085636,4213
ECLG,ECOLLEGE.COM,1085653,7371
METR,METRO BANCORP INC,1085706,6020
NXTP.1,NEXTEL PARTNERS INC,1085707,4812
BLIAQ,BB LIQUIDATING INC,1085734,9995
WVCMY,WAVECOM SA,1085763,3663
MOVE.1,MOVE INC,1085770,7370
LBTE,LIBERATE TECHNOLOGIES,1085776,7372
GDENZ,GARDEN.COM INC,1085818,5961
3DSLN,DSL.NET INC,1085866,7370
PRFT,PERFICIENT INC,1085869,7370
ARTG,ART TECHNOLOGY GROUP INC,1086195,7372
AKAM,AKAMAI TECHNOLOGIES INC,1086222,7370
GSXN,GASCO ENERGY INC,1086319,1311
PVTL.1,PIVOTAL CORP,1086329,7372
SCVAY,SCANIA AB,1086360,3711
TANN.1,TANNING TECHNOLOGY CORP,1086384,7373
ACOM.2,AGENCY.COM LTD,1086403,7370
JDOGQ,JOHN D OIL AND GAS CO,1086411,1311
AUDC,AUDIOCODES LTD,1086434,3661
DSCM,DRUGSTORE.COM INC,1086467,5961
NTOP,NET2PHONE INC,1086472,4813
ARLP,ALLIANCE RESOURCE PTNRS  -LP,1086600,1220
EXNT.1,IXNET INC,1086606,4813
USITQ,U S INTERACTIVE INC,1086637,7370
DDDC,DELTATHREE INC,1086740,4899
SBLX,STABLEX TECHNOLOGIES INC,1086745,3711
BRNC.1,BRAUN CONSULTING INC,1086757,8742
PCSA.1,AIRGATE PCS INC,1086844,4812
MFC,MANULIFE FINANCIAL CORP,1086888,6311
BSFT.1,BROADSOFT INC,1086909,7372
CGLD.1,CYBERGOLD INC,1086937,7331
NOVA.1,NOVAMED INC,1086939,8011
ACRUQ,ACCRUE SOFTWARE INC,1087243,7372
APTM.1,APTIMUS INC,1087277,7370
CPIX,CUMBERLAND PHARMACEUTICALS,1087294,2834
LUMTQ,LUMINANT WORLDWIDE CORP,1087322,7370
RHT,RED HAT INC,1087423,7372
ITMN,INTERMUNE INC,1087432,2836
UBOH,UNITED BANCSHARES INC/OH,1087456,6020
FMTIF,FMI HOLDINGS LTD,1087477,2834
HOTJ.,HOTJOBS.COM INC,1087728,7370
NTRO.,NETRO CORP,1087779,3663
EDV.1,ENVISION DEVELOPMENT CORP,1087782,5961
NFZ,NUVEEN ARIZ DIVID ADV MUN FD,1087783,6726
NZW,NUVEEN MICH DIV ADV MUNI FD,1087785,6726
NXJ,NUVEEN NJ QUAL MUN INCM FD,1087786,6726
NXM,NUVEEN PA DIV ADVANTAGE MUN,1087787,6726
NXI,NUVEEN OH DIV ADV MUN FD,1087788,6726
ATBC,ATLANTIC BANCGROUP INC,1087790,6020
PROE,PURCHASEPRO.COM,1087831,7372
3CSAV,COOLSAVINGS INC,1087875,7370
NWKC,NETWORK COMMERCE INC,1087879,7370
SAAS,INCONTACT INC,1087934,7370
YESM,YESMAIL.COM INC,1087943,7370
VIXL,VIXEL CORP,1087955,3679
IPIXQ,IPIX CORP,1088022,7373
3PRMO,PROMOTIONS.COM INC,1088024,7370
QSFT,QUEST SOFTWARE INC,1088033,7372
USIO,USIO INC,1088034,6099
SDRV,STARDRIVE SOLUTIONS INC,1088116,7372
TMSG,TECHNOLOGY MONITORING SOLTNS,1088120,3812
ROME,ROME BANCORP INC,1088144,6035
ASWX,ACTIVE SOFTWARE INC,1088147,7372
MCZAF,MAD CATZ INTERACTIVE INC,1088162,3944
PGHEF,PENGROWTH ENERGY CORP,1088166,1311
TMNT,TELEMATE.NET SOFTWARE,1088214,7372
ELAS,ELASTIC NETWORKS INC,1088242,3661
MIX.2,INTERMIX MEDIA INC,1088244,7370
DRTN,DATA RETURN CORP,1088330,7373
WEBS.2,WEB STREET INC,1088348,6211
TTEL,TRITEL INC,1088383,4812
NSCN,NETSCREEN TECHNOLOGIES INC,1088454,3576
EVRT.1,EVERTRUST FINANCIAL GROUP,1088514,6036
CBIS.,C-BRIDGE INTERNET SOLTNS INC,1088570,7370
AGIL.1,AGILE SOFTWARE CORP,1088653,7372
INMX,INFORMAX INC,1088724,7372
ISPD,INTERSPEED INC,1088755,3576
LICT,LICT CORP,1088771,4813
CDIIQ,CD INTERNATIONAL ENTERPRISES,1088787,9995
LOIS,LOISLAW.COM INC,1088820,7372
TIVO.1,TIVO INC,1088825,4841
CORT,CORCEPT THERAPEUTICS INC,1088856,2834
3VIAD,VIADOR INC,1089026,7372
LAB.1,LABRANCHE & CO INC,1089044,6211
DKS,DICKS SPORTING GOODS INC,1089063,5940
BSD,BLACKROCK STRATEGIC MUN TR,1089094,6726
HSBC,HSBC HLDGS PLC,1089113,6020
CLCT,COLLECTORS UNIVERSE INC,1089143,7389
DMRC.1,DIGIMARC CORP -OLD,1089443,7372
TMICY,TREND MICRO INC,1089463,7372
AIIXY,AIXTRON SE,1089496,3559
PBA.1,SAL TRUST PREFERRED FUND I,1089500,6726
CMBC,COMMUNITY BANCORP INC/CA,1089503,6020
ALSK,ALASKA COMMUNICATIONS SYS GP,1089511,4813
KGJI,KINGOLD JEWELRY INC,1089531,3911
EDSN,EDISON SCHOOLS INC,1089567,8200
NCOC,NATIONAL COAL CORP,1089575,1220
NDAC.1,NEW DRAGON ASIA CORP,1089590,2040
EPNY,E.PIPHANY INC,1089613,7372
PLSK,PULASKI BANCORP INC,1089624,6035
NSTC.1,NESS TECHNOLOGIES INC,1089638,7373
UPMMY,UPM KYMMENE OYJ,1089642,2621
CEL.2,GRUPO IUSACELL SA,1089695,4812
SKE.2,SPINNAKER EXPLORATION CO,1089697,1311
ITRU,INTERTRUST TECHNOLOGIES CORP,1089717,7372
CBNJ.,COMMUNITY BANCORP/NJ,1089720,6020
NBCI,NBC INTERNET INC,1089754,7370
LR.1,LANIER WORLDWIDE INC,1089786,3861
BAYN,BAY NATIONAL CORP,1089787,6020
CNL.1,CLECO CORP,1089819,4911
BPS,BLACKROCK PA STRATEGIC MUNI,1089821,6726
WCFB.1,WEBSTER CITY FED BANCORP,1089830,6035
GAIA,GAIA INC,1089872,7370
GLDN.1,GOLDEN TELECOM INC,1089874,4813
SWKH,SWK HOLDINGS CORP,1089907,6159
ASFD,ASHFORD.COM INC,1089909,5961
ATON.,ALTEON WEBSYSTEMS INC,1089925,3576
WQNI,WQN INC,1089932,4899
3UNCAQ,RADIO UNICA COMMUNICATIONS,1089953,4832
PTV,PACTIV CORP,1089976,3089
NLAI,NEWMARKET LATIN AMERICA INC,1089979,6162
SFST,SOUTHERN FIRST BANKSHARES,1090009,6020
DVN,DEVON ENERGY CORP,1090012,1311
OMN,OMNOVA SOLUTIONS INC,1090061,2821
CHRK,CHEROKEE INTERNATIONAL CORP,1090069,3679
FDRY,FOUNDRY NETWORKS INC,1090071,3576
NVG,NUVEEN AMTFREE  MUNI CRDT,1090116,6726
NKL,NUVEEN INSD CA DIVID ADV MUN,1090117,6726
NFC.1,NUVEEN CT DIVID ADV MUN FD,1090118,6726
NFM,NUVEEN MD DIVID ADV MUN FD,1090119,6726
NMB.1,NUVEEN MASS DIVID ADV MUN FD,1090120,6726
NRB,NUVEEN NC DIV ADV MUN FUND,1090121,6726
NGB,NUVEEN VA DIV ADV MUNI FD,1090122,6726
NKO,NUVEEN NY DIV ADV MUNI INCM,1090123,6726
VSHP,VITAMINSHOPPE.COM INC,1090156,5400
IGLDF,GOLDEN ENERGY POWER LTD,1090159,4813
NUFO,NEW FOCUS INC,1090215,3674
BKTC,BOOKTECH.COM INC,1090309,2731
CHSI,CATALYST HEALTH SOLUTIONS,1090403,6411
LAMR,LAMAR ADVERTISING CO  -CL A,1090425,6798
PEFX,BLACKROCK S&P500 PRTD ETQY,1090431,6726
HMSV.,HOMESERVICES.COM INC,1090445,6531
4021A,PUERTO RICO TELEPHONE CO,1090480,4813
MDTL,MEDIS TECHNOLOGIES LTD,1090507,3690
AOBI,AMERICAN ORIENTAL BIOENGR,1090514,2834
IIJIY,INTERNET INITIATIVE JAPAN INC,1090633,7370
3EEEE,EMACHINES INC,1090710,5045
UPS,UNITED PARCEL SERVICE INC,1090727,4210
A,AGILENT TECHNOLOGIES INC,1090872,3826
DTRM,DETERMINE INC,1090908,7370
VSCN,VISUAL SCIENCES INC/DE,1091158,7372
JGBO,JIANGBO PHARMACEUTICALS INC,1091164,2834
NILE.,BLUE NILE INC,1091171,5944
IASIZ,ASIACONTENT.COM LTD  -CL A,1091212,7370
MTLS,MATERIALISE NV,1091223,7372
NMTC.1,NUMERICAL TECHNOLOGIES INC,1091226,7372
PRVWZ,PREVIEW SYSTEMS INC,1091271,7372
RCOM.1,REGISTER.COM INC,1091284,7389
SMBI,SYMBION INC,1091312,8011
CNYD,CHINA YIDA HOLDING CO,1091325,7996
NTCR,NETCREATIONS INC,1091440,7331
XMSR,XM SATELLITE RADIO HLDGS INC,1091530,4832
NNCI,NETNATION COMMUNICATIONS INC,1091560,7370
ABBNY,ABB LTD,1091587,3613
AURX,NUO THERAPEUTICS INC,1091596,2836
ADST,ADSTAR INC,1091599,7370
MPLX.1,MEDIAPLEX INC,1091621,7310
CHTR,CHARTER COMMUNICATIONS INC,1091667,4841
PACR,PACER INTERNATIONAL INC,1091735,4731
ARGO,ARGO GROUP INTL HOLDINGS LTD,1091748,6351
IBAS,IBASIS INC,1091756,4899
MSO,MARTHA STEWART LIVING OMNIMD,1091801,4888
HAND,HANDSPRING INC,1091822,3571
CHMT.1,CHEMTURA CORP,1091862,2820
CIR,CIRCOR INTL INC,1091883,3490
SKDS,SMARTERKIDS.COM INC,1091893,7372
3CWONQ,CHOICE ONE COMMUNICATION INC,1091953,4813
TPC.2,SUNCOM WIRELESS HOLDINGS INC,1091973,4812
CHIC.2,CHARLOTTE RUSSE HOLDING INC,1092006,5621
ACME,ACME COMMUNICATIONS INC,1092013,9995
RHBTE,RHBT FINANCIAL CORP,1092015,6163
MIIS,MICROISLET INC,1092050,8731
CVBG,CIVITAS BANKGROUP INC,1092099,6020
TAT,TRANSATLANTIC PETROLEUM LTD,1092289,1311
CPTLQ,CTC COMMUNICATIONS GROUP INC,1092319,4899
RPCX,RESOURCEPHOENIX.COM INC,1092325,8721
SCMR,SYCAMORE NETWORKS INC,1092367,9995
XACT,EXACTIS.COM INC,1092393,4822
TZIX,TRIZETTO GROUP INC,1092458,7372
SONM.1,SHC CORP,1092481,6141
AXST,AXESSTEL INC,1092492,3663
ENPO,ENTREPORT CP,1092494,7370
FSSTQ,FASTNET CORP,1092536,7370
EMRG,EMERGE INTERACTIVE INC,1092605,7373
WBVNQ,WEBVAN GROUP INC,1092657,5961
CEMI,CHEMBIO DIAGNOSTICS INC,1092662,2835
SPSC,SPS COMMERCE INC,1092699,7370
SWBI,SMITH & WESSON BRANDS INC,1092796,3480
DUNRQ,DUNE ENERGY INC,1092839,1311
EZM.1,EUROZINC MINING CORP,1092840,1000
CFX.1,COLONIAL INSD MUN FD,1092895,6726
CCA,MFS CALIFORNIA MUNICIPAL FD,1092896,6726
CNM.3,COLONIAL N Y INSD MUN FD,1092897,6726
APL,ATLAS PIPELINE PARTNER LP,1092914,4922
LTWC,LTWC CORP,1092917,7374
HBP,HUTTIG BUILDING PRODUCTS INC,1093082,5031
CYSV,CYSIVE INC,1093193,7373
CRSS,CROSSROADS IMPACT CORP,1093207,3577
PNTA.1,PENTASTAR COMMUNICATIONS INC,1093221,4899
IMAN,IMANAGE INC,1093242,7372
MECAQ,MAGNA ENTERTAINMENT CORP,1093273,7948
SCVM,MEDI-HUT CO INC,1093285,5047
NSL,NUVEEN SR INCOME FD,1093428,6726
NEXC,NEXCEN BRANDS INC,1093434,6794
ONDS.1,ONDISPLAY INC,1093513,7372
SGRZ,STONEPATH GROUP INC,1093546,8742
QXLRY,QXL RICARDO PLC,1093549,7389
DXCM,DEXCOM INC,1093557,3845
MCKC,MCK COMMUNICATIONS INC,1093576,3661
IDIX,IDENIX PHARMACEUTICALS INC,1093649,2836
PEBK,PEOPLES BANCORP NC INC,1093672,6020
PLUG,PLUG POWER INC,1093691,3674
OGNC,ORGANIC INC,1093709,8742
NXTV.1,NEXT LEVEL COMMUNICATION,1093802,3661
TZMT,TELZUIT MEDICAL TECH INC,1093837,3845
SNWL,SONICWALL INC,1093885,3576
SINA,SINA CORP,1094005,7370
VCTL,RAINMAKER SYSTEMS INC,1094007,7370
EZAU,EZ AUCTIONS & SHIPPING INC,1094012,5961
DTGLF,DATEC GROUP LTD,1094034,7372
CRYP.2,CRYPTOLOGIC LTD,1094036,7372
MRKR,MARKER THERAPEUTICS INC,1094038,2836
DIET.1,EDIETS.COM INC,1094058,7200
TKOI,TELKONET INC,1094084,3823
JNIC,JNI CORP,1094087,3576
DUK8,PROGRESS ENERGY INC,1094093,4911
GTHR.,GETTHERE INC,1094202,4700
HPOL,HARRIS INTERACTIVE INC,1094238,8700
SMRA,SOMERA COMMUNICATIONS INC,1094243,5065
TDY,TELEDYNE TECHNOLOGIES INC,1094285,3812
PIK.,WATER PIK TECHNOLOGIES INC,1094286,3569
TTPA,TRINTECH GROUP PLC,1094316,7372
JLIC,JESUP & LAMONT INC,1094320,6211
FOGD,FOGDOG INC,1094323,5961
SIFY,SIFY TECHNOLOGIES LTD -ADR,1094324,4813
3NETZ,NETZEE INC,1094335,7373
MATR,MATTERSIGHT CORP,1094348,8742
