cik,sic,conm
6229,5172,AMTEL INC
6260,7370,ANACOMP INC
6273,3460,ANADITE INC
6281,3674,ANALOG DEVICES
6284,3845,ANALOGIC CORP
6292,7371,ANALYSTS INTERNATIONAL CORP
6314,3663,ANAREN INC
6332,3220,ANCHOR HOCKING CORP
6368,5812,ANCORP NATIONAL SERVICES INC
6383,4899,MOSCOW CABLECOM CORP
6410,2040,ANDERSON CLAYTON & CO
6432,3490,ANDERSON GREENWOOD & CO
6435,3448,ANDERSON INDUSTRIES INC
6494,3663,ANDREA ELECTRONICS CORP
6550,3089,ANDY GARD CORP
6571,7200,ANGELICA CORP
6699,3569,ANSUL CO
6701,3350,ANTA CORP
6706,1311,ANTARES OIL CORP
6720,3949,K2 INC
6811,2911,APCO OIL CORP
6814,8742,COMFORCE CORP
6831,1311,APEXCO INC
6837,3670,API INSTRUMENTS CO
6839,6798,API TRUST
6841,3089,APL CORP
6845,3442,APOGEE ENTERPRISES INC
6857,3690,APOLLO LASERS INC
6885,5651,STAGE STORES INC
6928,7372,APPLIED DATA RESEARCH INC
6931,3690,APPLIED DEVICES
6948,3679,APPLIED MAGNETICS CORP
6951,3559,APPLIED MATERIALS INC
6955,3533,ENERPAC TOOL GROUP CORP
7032,5812,ARAMARK CORP
7039,2911,TRECORA RESOURCES
7047,1311,ARAPAHO PETROLEUM INC
7084,2070,ARCHER-DANIELS-MIDLAND CO
7097,2721,ARCHIE ENTERPRISES INC
7105,2834,ARCHON INC
7118,7389,ARCS EQUITIES CORP
7119,3730,MINSTAR INC
7184,1311,ARGONAUT ENERGY CORP
7202,3823,ARI INDUSTRIES INC
7214,6141,WASHINGTON MUTUAL FINL CORP
7237,3523,AZL RESOURCES INC
7314,4923,NORAM ENERGY CORP
7332,1311,SOUTHWESTERN ENERGY CO
7346,9995,ARLEN CORP
7376,3944,ARMAC ENTERPRISES INC
7377,3350,ARMADA CORP
7383,3312,ARMCO INC
7400,3081,ARMIN CORP
7431,3290,ARMSTRONG WORLD INDUSTRIES
7522,3060,ARP CORP
7533,3690,ARROW AUTOMOTIVE INDUSTRIES
7536,5065,ARROW ELECTRONICS INC
7541,3613,ARROW HART INC
7575,2421,ARTCO INDUSTRIES INC
7580,3826,ARTEK SYSTEMS CORP
7610,2780,ARTISTIC GREETINGS INC
7620,2771,ARTS & LEISURE CORP
7623,3523,ARTS WAY MFG INC
