conm,cik,name_std,cik_retrieved_from_name
IXIA,1120295.0,IXIA,
BED BATH & BEYOND INC,1130713.0,BED BATH & BEYOND INC,0000886158
AECOM,868857.0,AECOM,
TRAVELZOO,1133311.0,TRAVELZOO,
TODCO,1210697.0,TODCO,
STAR EQUITY HOLDINGS INC,1210708.0,STAR EQUITY HLDG INC,0000707388
AMERICAN NATIONAL GROUP INC,1039828.0,AMERICAN NATIONAL GRP INC,0001801075
ENERSYS,1289308.0,ENERSYS,
CUBESMART,1298675.0,CUBESMART,
NORTHEAST COMMUNITY BANCORP,1847398.0,NORTHEAST COMMUNITY BANCORP,0001354772
WARNER CHILCOTT PLC,1323854.0,WARNER CHILCOTT PLC,0001113445
TECHTARGET INC,2018064.0,TECHTARGET INC,0001293282
POINT.360,1398797.0,POINT360,
FABRINET,1408710.0,FABRINET,
R1 RCM INC,1910851.0,R1 RCM INC,0001472595
CULLMAN BANCORP INC,1845799.0,CULLMAN BANCORP INC,0001465969
APOLLO GLOBAL MGMT INC,1858681.0,APOLLO GLOB MGMT INC,0001411494
ARAMARK,1584509.0,ARAMARK,
EVOTEC SE,1412558.0,EVOTEC SE,0001774462
GCI LIBERTY INC,2057463.0,GCI LIBERTY INC,0000808461
BURFORD CAPITAL LIMITED,1714174.0,BURFORD CAPITAL LTD,0001720445
FORESIGHT AUTONOMOUS,1691221.0,FORESIGHT AUTONOMOUS,0001701229
CELLECT BIOTECHNOLOGY LTD,1680653.0,CELLECT BIOTECH LTD,0001671502
AMERCO,4457.0,AMERCO,
WYETH,5187.0,WYETH,
AMERICAN OIL & GAS,746896.0,AMERICAN OIL & GAS,0001120916
ATKINSON (W.P. BILL)  -CL A,1007733.0,ATKINSON,
PHLCORP,230046.0,PHLCORP,
BENOS,66860.0,BENOS,
NSTAR,1035675.0,NSTAR,
BROWNING,14825.0,BROWNING,
BUFFUMS,15218.0,BUFFUMS,
BUTLER INTL INC,15836.0,BUTLER INTL INC,0000786765
CAREMARK,353212.0,CAREMARK,
CHARTERCORP,36674.0,CHARTERCORP,
CITICORP,20405.0,CITICORP,
COMPUCORP,22910.0,COMPUCORP,
DIAL CORP,215663.0,DIAL CORP,0001016179
ELKCORP,32017.0,ELKCORP,
FIDELCOR,35292.0,FIDELCOR,
FREEPORT MCMORAN INC,351116.0,FREEPORT MCMORAN INC,0000831259
HANDY & HARMAN,45333.0,HANDY & HARMAN,0000106618
HORIZON BANCORP,931332.0,HORIZON BANCORP,0000706129
INTL GAME TECHNOLOGY,353944.0,INTL GAME TECH,0001619762
MCORP,64924.0,MCORP,
MERIDIAN BANCORP INC,723916.0,MERIDIAN BANCORP INC,0001600125
MERVYNS,65155.0,MERVYNS,
MUELLER (PAUL) CO,68726.0,MUELLER CO,0000793707
AMERECO,793376.0,AMERECO,
OMNIMEDICAL,74497.0,OMNIMEDICAL,
PACIFICORP,75594.0,PACIFICORP,
CONOCOPHILLIPS,1163165.0,CONOCOPHILLIPS,
RAMPAC,82427.0,RAMPAC,
RHODES INC,83679.0,RHODES INC,0000083680
SERVISCO,899391.0,SERVISCO,
SIGMATICS,90209.0,SIGMATICS,
SMITH (A.O.),91142.0,SMITH,
KEYCORP,91576.0,KEYCORP,
ANDEAVOR,50104.0,ANDEAVOR,
TICOR,98178.0,TICOR,
UNIOIL,352710.0,UNIOIL,
XEBEC,712774.0,XEBEC,
DIRECTV,1465112.0,DIRECTV,
TEKELEC,790705.0,TEKELEC,
INFINITY BROADCASTING  -CL A,792863.0,INFINITY BROADCASTING,0001070518
INTERSOLV,805330.0,INTERSOLV,
THALES,1722401.0,THALES,
BUSINESSMALL.COM,806277.0,BUSINESSMALLCOM,
ARAMARK CORP  -CL B,757523.0,ARAMARK CORP,0000007032
WESTCORP,813461.0,WESTCORP,
EMCON,819977.0,EMCON,
MANPOWERGROUP,871763.0,MANPOWERGROUP,
SOTHEBY'S,823094.0,SOTHEBY'S,
METROBANK,813898.0,METROBANK,
HELIONETICS,319648.0,HELIONETICS,
BSB BANCORP,830257.0,BSB BANCORP,0001522420
COMMERCEBANCORP,720883.0,COMMERCEBANCORP,
PONCEBANK,783850.0,PONCEBANK,
LASERSCOPE,851737.0,LASERSCOPE,
VERSABANK,1690639.0,VERSABANK,
USCORP,873185.0,USCORP,
SYS,96057.0,SYS,
ALTABANCORP,1636286.0,ALTABANCORP,
TRANSUNION,1552033.0,TRANSUNION,
MAJESCO,1626853.0,MAJESCO,
SPORTSTOWN,884801.0,SPORTSTOWN,
BOUNCEBACKTECHNOLOGIES.COM,899778.0,BOUNCEBACKTECHNOLOGIESCOM,
MASISA SA,900335.0,MASISA SA,0001216559
METROBANCORP,818999.0,METROBANCORP,
HOME BANCORP,916822.0,HOME BANCORP,0001436425
STARZ,1507934.0,STARZ,
IAC/INTERACTIVECORP,1800227.0,IAC/INTERACTIVECORP,
PIXAR,1002114.0,PIXAR,
CASTELLE,908605.0,CASTELLE,
STRASBAUGH,919583.0,STRASBAUGH,
ISOCOR,879283.0,ISOCOR,
ADVANCEPCS,1012956.0,ADVANCEPCS,
AVIRON,949173.0,AVIRON,
ARCELORMITTAL,1243429.0,ARCELORMITTAL,
RADCOM,1016838.0,RADCOM,
CENTRESPACE,798359.0,CENTRESPACE,
ELDERTRUST,1043236.0,ELDERTRUST,
ZAP,1024628.0,ZAP,
GLOBALDIGITALCOMMERCE.COM,1048135.0,GLOBALDIGITALCOMMERCECOM,
SUEZ,1158533.0,SUEZ,
SANOFI,1121404.0,SANOFI,
HAVAS,1107470.0,HAVAS,
PETROFINA,1045182.0,PETROFINA,
SODEXO,1169715.0,SODEXO,
CGG,1037962.0,CGG,0000703938
POSCO,889132.0,POSCO,
GLOBALMEDIA.COM,1037628.0,GLOBALMEDIACOM,
TRANSGENE,1056910.0,TRANSGENE,
RH,1528849.0,RH,
AMDOCS,1062579.0,AMDOCS,
RHODIA,1062814.0,RHODIA,
WAREFORCE.COM,1022901.0,WAREFORCECOM,
ALPHATRADE.COM,1076462.0,ALPHATRADECOM,
AUDIOHIGHWAY.COM,1030108.0,AUDIOHIGHWAYCOM,
HEARME,1078693.0,HEARME,
MERCHANTONLINE.COM,1039947.0,MERCHANTONLINECOM,
FASHIONMALL.COM,1081202.0,FASHIONMALLCOM,
CSFBDIRECT,1026392.0,CSFBDIRECT,
PURCHASEPRO.COM,1087831.0,PURCHASEPROCOM,
HEALTHCENTRAL.COM,1095016.0,HEALTHCENTRALCOM,
ECOLLEGE.COM,1085653.0,ECOLLEGECOM,
HOTELS.COM,1098322.0,HOTELSCOM,
IEMI,1100688.0,IEMI,
IXIA,1120295.0,IXIA,
ONECAP,1111845.0,ONECAP,
AECOM,868857.0,AECOM,
INPIXON,1529113.0,INPIXON,
TRAVELZOO,1133311.0,TRAVELZOO,
TODCO,1210697.0,TODCO,
ENERSYS,1289308.0,ENERSYS,
CUBESMART,1298675.0,CUBESMART,
KEYREIT,1574037.0,KEYREIT,
WARNER CHILCOTT PLC,1323854.0,WARNER CHILCOTT PLC,0001113445
POINT.360,1398797.0,POINT360,
FABRINET,1408710.0,FABRINET,
AEI,1387685.0,AEI,0001069183
ENZYMEBIOSYSTEMS,1471968.0,ENZYMEBIOSYSTEMS,
ARAMARK,1584509.0,ARAMARK,
ORANGE,1038143.0,ORANGE,
EURONAV,1604481.0,EURONAV,
MEDIGUS,1618500.0,MEDIGUS,
