conm,tic,cik,sic
NEOMEDIA TECHNOLOGIES INC,NEOM,1022701,7373
CB RICHARD ELLIS SVCS,CBG.4,852203,6531
DR SOLOMONS GROUP PLC  -ADR,SOLLY.,1026734,7372
LINENS N THINGS INC,LIN.,1023052,5700
MANCHESTER TECHNOLOGIES INC,MANC,1023876,5045
ROADHOUSE GRILL INC,GRLL,1019376,5812
API ELECTRONICS GROUP INC,3AEGCF,1022282,3674
VCAMPUS CORP,VCMP,943742,2741
WEST CORP,WSTC,1024657,7389
BIACORE INTL AB,BCOR.,1026658,3826
BRANTLEY CAPITAL CORP,BBDC.1,1021009,6726
FIREARMS TRAINING SYS  -CL A,3FATS,1021770,3690
FORRESTER RESEARCH INC,FORR,1023313,8700
FRESHSTART VENTURE CAP CORP,FSVC,818897,6799
GENESIS ENERGY  -LP,GEL,1022321,5172
PS FINANCIAL INC,PSFI,1021575,6035
THINK NEW IDEAS INC,THNK.1,1014462,7370
PREMIUM BRANDS HLDGS CORP,PRBZF,1503812,2011
LEADING EDGE PACKAGING INC,LEPI,1021549,5160
CIPHERLOC CORP,CLOK,1022505,7372
MOONEY AEROSPACE GROUP LTD,3MNYG,1019825,3721
PREMIERWEST BANCORP,PRWT,1102287,6020
VIASAT INC,VSAT,797721,3663
TTI TEAM TELECOM INTL LTD,TTIL,1026266,7373
INDIGO BOOKS & MUSIC INC,IDGBF,1162444,5940
NEWPORT NEWS SHIPBUILDING,NNS,1025361,3730
INNOPET BRANDS CORP,INBC.,1018158,2040
INTELLISYNC CORP,SYNC.1,1020716,7372
WEBSECURE INC,WEBS.,1003504,7370
INVENTURE FOODS INC,SNAK,944508,2030
POWERWAVE TECHNOLOGIES INC,PWAVQ,1023362,3663
TRICAN WELL SERVICE LTD,TOLWF,1395857,1389
COLT GROUP SA,COLT,1026733,4813
ECHELON INTERNATIONAL CORP,EIN.,1023275,6512
ECOMAX INC,EMAX,1008653,7200
TEAM AMERICA CORP,TMOSQ,860235,8721
UNISOURCE WORLDWIDE INC,UWW,1027282,5110
OCUREST LABORATORIES INC,OCULU,919564,2834
HIGHWAY HOLDINGS LTD,HIHO,1026785,3460
MONEYGRAM PAYMENT SYS INC,MNE.3,1005730,6099
SKYMALL INC,SKYM,862841,5961
VIVID TECHNOLOGIES INC,VVID,1023813,3844
SMF ENERGY CORP,FUELQ,1024452,5172
WORLD HEART CORP,WHRT,1024520,3845
ALL AMERN FOOD GROUP INC,AAFGQ,1013627,5812
AURORA GOLD CORP,ARXG,1037049,1000
DELTIC TIMBER CORP,DEL,1022469,2421
PENDARIES PETROLEUM LTD,PDR..,1058254,1311
ANSALDO SIGNAL NV,ASIGF.,1027228,3669
COMMUNITY CENTRAL BK CORP,CCBD,1014133,6020
ECSOFT GROUP PLC,ECSGY,1026969,7373
MESSAGEMEDIA INC,MESG.1,1017829,7370
GROUPE AB SA,ABG.2,1027077,4841
MARQUEE GROUP INC,MRT.2,1019072,7900
VERSATILITY INC,3VERS,1023393,7372
DATAMIRROR CORP,DMCX,1052357,7372
DATA TRANSLATION INC,DATX,1022693,3577
FACTORY CARD OUTLET & PTY CP,FCPO,1024441,5940
MONSTER WORLDWIDE INC,MWW,1020416,7370
APT SATELLITE HLDGS LTD,APPTY,1027229,4899
ATC TECHNOLOGY CORP,ATAC.1,933405,4731
BOWLIN OUTDOOR AD&TRAVEL CTR,BWN.2,1020898,5412
COVANCE INC,CVD,1023131,8731
AULT GLOBAL HOLDINGS INC,DPW,896493,3679
IGATE CORP,IGTE,1024732,7374
QUEST DIAGNOSTICS INC,DGX,1022079,8071
TITAN EXPLORATION INC,TEXP,1024645,1311
NEW ENERGY EXCHANGE LTD,EBODF,1027454,3674
ACCENT COLOR SCIENCES INC,ACLR,921898,3577
CRAGAR INDUSTRIES INC,3CRGR,1024125,3714
CREDIT MGMT SOLUTIONS INC,CMSS.1,1024339,7373
FOCUS AFFILIATES INC,ETER,1025557,5065
LITHIA MOTORS INC  -CL A,LAD,1023128,5500
PROCOM TECHNOLOGY INC,PRCM.,1025711,3572
SWISHER INTL GRP INC  -CL A,SWR.1,1025834,2100
AMSCAN HOLDINGS INC,0081A,1024729,2650
TATNEFT PJSC,TNT.2,1058255,2911
AVAX TECHNOLOGIES INC,AVXT,1015441,2836
BA MERCHANT SVCS INC  -CL A,BPI.1,1024674,7389
DELIAS INC -OLD,DLIA.1,1026114,5961
LARSCOM INC  -CL A,LARS,1024047,3576
BEVERLY HILLS BANCORP INC,BHBCQ,1024321,6035
BIG FOOT FINANCIAL CORP,BFFC,1022807,6035
EMCLAIRE FINANCIAL CORP,EMCF,858800,6020
FIRST MARINER BANCORP,FMARQ,946090,6020
CAREGUIDE INC,CGUE,1017813,6411
PRIMEX TECHNOLOGIES INC,PRMX.,1019265,3480
RIVER VALLEY BANCORP,RIVR,1015593,6035
DIGITAL INFO SECURITY CO,DGIF,1025566,3949
3DX TECHNOLOGIES INC,3TDXTC,915518,1311
BRIDGE VIEW BANCORP,BVB,1022809,6020
CENTURY BANCORP INC/NC,CENB,1019055,6036
NEW YORK HEALTH CARE INC,BBAL,1018354,8082
SOUTHERN CMNTY BANCSHRS INC,SCBS,1021011,6035
MARSULEX INC,MLX.,852600,4955
WILSHIRE BANCORP INC,WIBC,1285224,6020
DXP ENTERPRISES INC,DXPE,1020710,5080
UNITED SECURITY BANCSHARS CA,UBFO,1137547,6020
PARTNERS BANCORP,PTRS,832090,6020
DTA HOLDING AG -ADR,DTAGY,1029508,6552
HOME CITY FINANCIAL CORP,HCFL,1022103,6035
PETRO STOPPING CENTERS  -LP,TA4,919942,5500
BLUE FISH CLOTHING INC,MGRN.1,1001594,2330
HELIOS TECHNOLOGIES INC,HLIO,1024795,3490
CIAO CUCINA CORP,CIAQQ,942659,5812
ROSLYN BANCORP INC,RSLN,1020828,6036
FIRSTFED AMER BANCORP INC,FAB.1,1023640,6035
ECO SOIL SYSTEMS INC,ESSIE,876103,3523
MC INFORMATICS INC,3MCIFE,1023767,7373
CAL-MAINE FOODS INC,CALM,16160,200
ELTEK LTD,ELTK,1024672,3672
WI-TRON INC,WTRO,1016151,3663
CD WAREHOUSE INC,CDWR,1025822,5735
EARTHLINK NETWORK INC,ELNK.,1061566,7370
EFJOHNSON TECHNOLOGIES INC,EFJI,1023516,3663
SEEC INC,SEEC,925524,7372
PARADISE MUSIC & ENTMT INC,SUNC,1024464,7389
RDO EQUIPMENT CO  -CL A,3RDOE,1023902,5500
LOYALTYPOINT INC,LYLP,1013690,7370
AMEGY BANCORPORATION INC,ABNK.1,1027258,6020
INSPERITY INC,NSP,1000753,7363
AMERUS GROUP CO  -CL A,AMH.2,1051717,6311
COLDWATER CREEK INC,CWTRQ,1018005,5621
KILROY REALTY CORP,KRC,1025996,6798
CAREDATA.COM INC,CDCM,927456,7370
PHOTOELECTRON CORP,PECN,921960,3844
TEMPLATE SOFTWARE INC,TMPL,1024752,7372
GENESIS DEV & CONSTR LTD,GDCO10,1028572,1520
DONCASTERS PLC  -ADR,DCS.1,1029144,3724
EPIX PHARMACUETICALS INC,EPIX.1,1027702,2835
MEDIALINK WORLDWIDE INC,MDLK,812890,7380
MEDICAL MANAGER CORP-OLD,MMGR.,1022147,7373
METRO INFORMATION SVCS INC,MISI,1026965,7370
NATIONAL AUTO RECEIVABLES,CBNG,1324754,6141
SCPIE HOLDINGS INC,SKP.2,1013609,6351
BLUEPHOENIX SOLUTIONS LTD,MDSYF,1029581,7372
CERUS CORP,CERS,1020214,2836
APPIANT TECHNOLOGIES INC,APPS.1,1025985,7373
VERICEL CORP,VCEL,887359,2836
BIORA AB,BIORY,1030739,2836
CHINA EASTERN AIRLINES CORP,CEA,1030475,4512
NOVATEL INC,NGPS,1027539,3812
ERESEARCHTECHNOLOGY INC,ERT,1026650,7372
VAIL RESORTS INC,MTN,812011,7990
BRUNSWICK TECHNOLOGIES INC,BTIC,826075,3290
EPIQ SYSTEMS INC,EPIQ,1027207,7372
YURIE SYSTEMS INC,YURI,1026471,3661
DIGITAL LIGHTWAVE INC,DIGL,1016100,3669
PREFERRED EMPLOYERS HOLDINGS,PEGI.1,1023695,7363
GOLDEN OCEAN GROUP,GOGL,1029145,4400
CIENA CORP,CIEN,936395,3661
FOUR MEDIA CO,FOUR.1,1023388,7819
HEALTH GRADES INC,HGRD,1027915,7370
INTERACTIVE SYSTEMS WORLDWDE,ISWI,1025995,3571
GENERAL BEARING CORP,GNRL,1026221,3562
PURO WATER GROUP INC,HHO.,1027033,5140
COAST DENTAL SERVICES INC,CDEN,1018920,8741
VIRTUAL COMMUNITIES INC,VCIX,1028718,7370
INDEPENDENCE BREWING CO,IBCO,1009863,2082
QUALIX GROUP INC,FTSW,870345,7372
BIOSITE INC,BSTE,1487310,2835
DAOU SYSTEMS INC,3DAOU,1003989,7373
INTERDENT INC,3DENTQ,1072765,8000
RADIANT SYSTEMS INC,RADS,845818,7373
ILOG SA,ILOG,1031140,7372
JUDGE GROUP INC,JUDG,1022893,7363
SILGAN HOLDINGS INC,SLGN,849869,3411
MICRO THERAPEUTICS INC,MTIX,311407,3841
AVOCENT CORP,AVCT.,1109808,3576
COMPLETE WELLNESS CTRS INC,CMWLQ,1022828,8011
POINT.360-OLD,PTSX.,1014733,7819
METROPOLITAN HLTH NTWRKS INC,MDF,1009379,8011
OVERLAND STORAGE INC,OVRL,889930,3572
ENERGY SEARCH INC,EGAS.,932181,1311
CARMAX INC,KMX,1170010,5500
ILEX ONCOLOGY INC,ILXO,1001915,2836
THERMEDICS DETECTION INC,TDX.1,1012555,3823
DIAMOND MANAGEMENT & TECHNL,DTPI,924940,8742
IONA TECHNOLOGIES PLC,IONA,1032346,7372
DELTEK INC,PROJ,1029299,7372
NACT TELECOMMUNICATIONS INC,NACT,1027600,3661
ESPRIT TELECOM GROUP  -ADR,ESPRY,1032142,4813
FIRST AVIATION SERVICES INC,FAVS,1025743,5080
MERCURY WASTE SOLUTIONS INC,MWSI,1028262,4955
VISTANA INC,VSTN.,1029753,1531
GLOBAL MED TECHNOLOGIES INC,3GLOB,1009463,7372
RIVIERA TOOL CO,RIVT,1018349,3540
ATL PRODUCTS INC,ATLPA,1027781,3572
ROBROY INDUSTRIES INC  -CL A,3RROYE,84527,3460
TIVO CORP,TIVO,1675820,7370
NEWSTATE HOLDINGS INC,NSTH,919941,6162
ABSOLUTE POTENTIAL INC,ABLP,1002360,9995
NEOMAGIC CORP,NMGC,1030485,3674
GUITAR CENTER INC,GTRC,1427553,5700
EURO TECH HOLDINGS CO LTD,CLWT,1026662,5040
TOMORROWS MORNING INC,TOMM,1004400,2711
COLONIAL HOLDINGS INC  -CL A,3CHLD,1027430,7948
ENDOCARDIAL SOLUTIONS INC,ECSI.,940659,3845
KONTRON MOBILE COMPUTING INC,KMBC,912643,3571
NETCRUISE.COM INC,NCRU,827100,7370
JENNA LANE INC,3JLNY,1421100,2330
PALEX INC,PALX,1029448,2400
PURADYN FILTER TECHNOLOGIES,PFTI,1019787,3714
OMNIQUIP INTERNATIONAL INC,OMQP,1023973,3537
PHYSICIANS SPECIALTY CORP,ENTS.,1027429,8741
CTI BIOPHARMA CORP,CTIC,891293,2836
GETTY PETROLEUM MKTG INC,GPM.1,1025742,5171
ENTREE RESOURCES LTD,ERLFF,1271554,1000
ASIA PACIFIC WIRE&CABLE CORP,APWC,1026980,3357
SPIGADORO INC,SDGO,1029443,2040
AHL SERVICES INC,AHLS,1030740,7361
AMEDIA NETWORKS INC,AANI,933955,3577
EDGE PETROLEUM CORP,EPEXQ,1021010,1311
EURONET WORLDWIDE INC,EEFT,1029199,6099
PROMEDCO MANAGEMENT CO,PMCO,1011630,8741
SPECIAL METALS CORP,SMCXQ,1028965,3350
AVIATION DISTRIBUTORS INC,3ADIN,1018645,5080
COE GROUP PLC,FREY10,1031633,2741
KOS PHARMACEUTICALS INC,KOSP,1018952,2834
PLUMA INC,PLUAQ,829044,2253
ARTECON INC,ARTE.1,1027032,3572
GLOBAL SELF STORAGE INC,SELF,1031235,6798
ADVANCE FINANCIAL BANCORP,AFBC,1023398,6035
SOUTH STATE CORP,SSB,764038,6020
CHICAGO BRIDGE & IRON CO,CBI,1027884,1600
ALTAIR NANOTECHNOLOGIES INC,ALTI,1016546,3690
METALEX VENTURES LTD,MXTLF,1333829,1000
TD AMERITRADE HOLDING CORP,AMTD,1173431,6211
GS FINANCIAL CORP,GSLA,1029630,6035
HEMLOCK FEDERAL FINANCIAL CP,HMKF,1029654,6035
COMMODORE SEPARATION TCHNLGY,CXOT,1022381,3569
TPC LIQUIDATION,TPLQ,944310,3661
PULASKI BANCORP INC,PLSK,1089624,6035
ENSTAR INC,ENSR,1009515,7373
SKIBO FINANCIAL CORP,SKBO,1072685,6035
GULF ISLAND FABRICATION INC,GIFI,1031623,3730
COPEL-CIA PARANAENSE ENERGIA,ELP,1041792,4911
RELIANCE ACCEPTANCE GRP INC,RACCQ,721059,6141
JENSON INTERNATIONAL INC,3JENSE,357049,7011
SOURCE CAPITAL INC,SOR,91847,6726
FIRST SOUTH BANCORP INC/VA,FSBK,1027183,6020
ZEROPLUS.COM INC,ZPLSQ,1012481,7370
MEADE INSTRUMENTS CORP,MEAD,1032067,3827
NEXAR TECHNOLOGIES INC,BHLL.1,1027821,3571
PEREGRINE SYSTEMS INC,PRGN.1,1031107,7372
SCOOP INC,3SCPI.,1017097,2750
VALLEY NATIONAL GASES INC,VLG,1030715,5084
ACCELGRAPHICS INC,ACCL.,947798,7372
GLOBAL ECOLOGY CORP,GLEC,790066,4950
BEA SYSTEMS INC,BEAS,1031798,7372
REVOLUTIONS MEDICAL CORP,RMCP,1041009,3841
WESLEY JESSEN VISIONCARE INC,WJCO,1027584,3851
BRYLANE INC,BYL.1,932698,5961
BIRMAN MANAGED CARE,HKPF,1009822,8742
HAMILTON BANCORP INC/FL,HABK,894172,6020
EMPIRE FEDERAL BANCORP INC,EFBC,1023283,6035
INTERNATIONAL DISPENSING CP,IDND,1016739,3580
ERGOBILT INC,ERGB,1023874,2522
VIEWCAST.COM INC,VCST,921313,3663
NATIONWIDE FINL SVCS  -CL A,NFS,1029786,6311
SYNTROLEUM CORP,SYNM,1029023,8731
SOUTHERN BANCSHARES NC INC,SBNC,703904,6020
TAKE-TWO INTERACTIVE SFTWR,TTWO,946581,7372
ASI SOLUTIONS INC,ASIS,1029445,7389
CORNERSTONE PROPERTIES INC,CPP.1,702301,6798
DECRANE AIRCRAFT HLDGS INC,0061A,880765,3728
GABRIEL RESOURCES LTD,GBRRF,1110077,1040
EMCORE CORP,EMKR,808326,3663
AESP INC,AESP,1026744,3576
COVANSYS CORP,CVNS.1,1028461,7371
GENERAL CIGAR HLDGS  -CL A,MPP.1,1029456,2100
RBC LIFE SCIENCES INC,RBCL,830052,2834
EGGHEAD.COM INC,EGHDQ,1026506,5961
BIO-KEY INTERNATIONAL INC,BKYI,1019034,3829
WHG RESORTS & CASINOS INC,WHG..,1034754,7011
WHEELS SPORTS GROUP INC,WHELE,1030593,2750
CORNERSTONE RLTY INCOME TR I,TCR,854875,6798
D G JEWELRY INC,DGJLQ,1029631,3911
LUXELL TECHNOLOGIES INC,LUX.Z,1455129,3670
ALIMENTATION COUCHE-TARD INC,ANCUF,1081825,5412
SIGNATURE INNS INC,SGNS,352948,7011
US RENTALS INC,USR,1028726,7350
CHINA ENERGY RESOURCES CORP,CGYRF,925527,1220
PNI DIGITAL MEDIA INC,3PNDMF,1036642,7370
STEELCLOUD INC,SCLD,1058027,3571
XPLORE TECHNOLOGIES CORP,XPLR,1177845,3571
GO2NET INC,GNET.1,1029553,7370
UNIVEC INC,UNVC,1029825,3841
BIONX IMPLANTS INC,BINX,1030418,3842
CASCO INTERNATIONAL INC,CASC.1,1026792,7389
EXIGENT INTL INC,XGNT,1015854,7373
TALBERT MED MGMT HLDGS CORP,TMMC,1027131,8011
OLD GUARD GROUP INC,OGGI,1022794,6331
PROFILE TECHNOLOGIES INC,PRTKQ,1014653,7389
TURBODYNE TECHNOLOGIES INC,TRBD,1022097,3714
AUTOLIV INC,ALV,1034670,3714
GENERAL CREDIT CORP,GNIZQ,40511,6153
PEOPLES-SIDNEY FINANCIAL CP,PPSF,1031340,6035
CABLE & WIRELESS COMMUNICATN,CWZ.,1036138,4812
ANACONDA MINING INC,ANXGF,1722214,1040
LONG BEACH FINANCIAL CORP,LBFC,1034011,6162
FLAGSTAR BANCORP INC,FBC,1033012,6035
INTERNATIONAL COMPUTEX INC,ICIQ,1030681,7372
EASE2PAY NV,DOCD,1037017,3652
SCHIFF NUTRITION INTL INC,SHF,1022368,2834
BROOKDALE LIVING CMNTYS INC,BLCI,1023010,8300
DTM CORP,DTMC,1014552,3559
MARINE MGMT SYSTEMS INC,MMSY,1026311,7373
INMED PHARMACEUTICALS INC,INM,1728328,2836
CHINA SHEN ZHOU MINING & RES,CSHZ,790024,1400
DICTAPHONE CORP/DE,3175B,946734,3579
CENTRAL RENTS INC,3176B,926845,7359
FLOUR CITY INTL INC,FCIN,1049049,3440
KAYNAR TECHNOLOGIES INC,KTIC,917193,3452
BLACKROCK MUNIHOLDINGS FUND,MHD,1034665,6726
PREMIER HOLDING CORP,PRHL,1030916,4991
HCB BANCSHARES INC,HCBB,1029740,6035
GLOBAL MATRECHS INC,GBMR,1021226,6794
EASTERN ASTERIA INC,EATR,1035517,5961
CHAIN ENERGY CORP,CSH.,1118872,1311
GREAT LAKES REIT INC,GL.4,1063393,6798
JOURNAL REGISTER CO,JRCOQ,1035815,2711
BRIGHAM EXPLORATION CO,BEXP,1034755,1311
FRANKLIN FINANCIAL CORP/TN,FNFN,846903,6020
IELEMENT CORP,IELE,1043105,9995
KNOLL INC,KNL,1011570,2522
HIPERMARC SA,UNRMY,1036510,5411
TELESYSTEM INTL WIRELESS INC,TIWIF,1045632,4812
WESTERN SIERRA BANCORP,WSBA,1072688,6020
ASD GROUP INC,ADGJ,1017875,3670
BIOMETRICS SECURITY TECH INC,BSYT,1004605,3576
VITA FOOD PRODUCTS INC,VFPI,1024342,2090
FIRST CAROLINA INVESTORS,3FCAR,811040,6726
HAWAIIAN NATURAL WATER INC,3HNWC,1025787,2086
OCWEN ASSET INVESTMENT CORP,OAC.1,1033643,6798
RAMBUS INC,RMBS,917273,6794
VITAL IMAGES INC,VTAL,912888,7372
AMAZON.COM INC,AMZN,1018724,5961
SIERRACITIES.COM INC,BTOB,1034812,6172
ADAMS OUTDOOR ADVERTSG  -LP,3185B,1011976,7310
TOTAL CONTROL PRODUCTS INC,TCPS.1,916502,3823
DENISON MINES CORP,DNN,1063259,1090
LHS GROUP INC,LHSG,1032330,7372
MINEFINDERS CORP LTD,MFN,926479,1040
WESTFIELD AMERICA INC,WEA.,913283,6798
JEFFERSONVILLE BANCORP,JFBC,874495,6020
LEXINGTON HEALTHCARE GROUP,LEXI.1,1026348,8051
ESSEX INTERNATIONAL INC,SXC.1,846919,3350
OVIVO INC,LVGAF,1499162,3550
G WILLI-FOOD INTL LTD,WILC,1030997,5140
CANICO RESOURCE CORP,CNIRF,1220547,1000
UNITED COMMUNITY BANKS INC,UCBI,857855,6020
CHINA TECHNOLOGY GLOBAL CORP,CTGLF,1021126,7372
NEI WEBWORLD INC,3NEIPE,1035028,2750
SEVEN SEAS PETROLEUM INC,SVSSF,947156,1311
TROVER SOLUTIONS INC,TROV.1,858629,6411
SUMMIT HLDG SOUTHEAST INC,SHSE,1027287,6411
TANISYS TECHNOLOGY INC,TNIS,929775,3825
HARTFORD LIFE INC  -CL A,HLI.1,1032204,6311
NATURAL SOLUTIONS CORP,ICEB,1096594,2890
CFI MORTGAGE INC,CFIM,1036071,6162
PREVU INC,PRVU,1016607,5600
ALEXANDRIA R E EQUITIES INC,ARE,1035443,6798
CAREY INTERNATIONAL INC,CARY,747201,4100
ABAZIAS INC,3ABZA,1096208,5961
DSI TOYS INC,3DSIT,1034257,3944
NETSPEAK CORP,NSPK,1007209,7372
RYANAIR HOLDINGS PLC,RYAAY,1038683,4512
CVI ENERGY CORP LTD,CTVWF,1023130,6799
AMERICAN RETIREMENT CORP,ACR.1,787784,8300
ASCENT PEDIATRICS INC,3ASCTP,1019731,2834
DESSAUER GLOBAL EQUITY FUND,DGE.1,1017960,6726
MIDWAY GOLD CORP,MDWCQ,1319009,1040
DEBT STRATEGIES FUND INC,DBS.1,1036808,6726
KMG CHEMICALS INC,KMG,1028215,2860
REIS INC,REIS,1038222,7370
BLUEFLY INC,BFLY.1,1030896,5961
QORVO INC,QRVO,1604778,3674
SAREPTA THERAPEUTICS INC,SRPT,873303,2836
PAMECO CORP  -CL A,3PAMC.,1036283,5070
CORNERSTONE PRPANE PTNR  -LP,CNPP,1024338,5172
ESHARE COMMUNICATIONS INC/GA,ESHR,1034956,7373
CONCERO INC,CERO,1030487,7370
CARDIMA INC,CADMQ,1022570,3841
LOTTERY & WAGERING SOLUTIONS,LWSL,1026671,7990
SILVERLEAF RESORTS INC,SVLF,1033032,6531
HANDY HARDWARE WHLSL  -CL A,3191B,354053,5072
WHITE ROSE FOODS INC,3195B,915433,5141
IRIDIUM WORLD COMMUN  -CL A,IRIDQ,1035442,6799
SANTA FE INTERNATIONAL CORP,SDC.3,86763,1381
IVANHOE ENERGY INC,IVANF,1106935,1311
MYTURN.COM INC,MYTN,1028079,7370
GLOBALNET FINANCIAL.COM INC,3GLBN,832324,6211
DELSOFT CONSULTING INC,DSFT,1029424,7371
H T E INC,HTEI,1010655,7373
EFAX.COM INC,3EFAX,872901,7373
PEAPOD INC,PPOD,1036992,5961
RALPH LAUREN CORP,RL,1037038,2300
CUMBERLAND FARMS INC  -CL A,3196B,914761,5500
OPTISYSTEMS SOLUTIONS LTD,OPTL.,1038371,7372
BOLIDEN AB,BOLIF,1446457,3330
RC2 CORP,RCRC,1034239,3944
STAR TELECOMMUNICATIONS INC,STRX,1026486,4813
CAPROCK COMMUNICATIONS CORP,CPRK.1,1063880,4813
MAXIMUS INC,MMS,1032220,8741
WASTE INDUSTRIES USA  INC,WWIN.1,1125845,4953
US GLOBAL NANOSPACE INC,USGA,1001111,2820
EDP-ENERGIAS DE PORTUGAL SA,EDPFY,1039610,4911
FOUNDATION HEALTHCARE LTD,3FNCYQ,1023845,8711
GENESYS TELECOMM LABS INC,GCTI,1036436,7372
INTEST CORP,INTT,1036262,3825
NORTEL INVERSORA SA,NTL,877691,4812
ORBIT/FR INC,ORFR,1037115,3825
STEEL VAULT CORP,3SVUL,1037417,9995
WORLDPORT COMMUNICATIONS INC,WRDP,857847,9995
ARIS CORP/WA,ARSC.1,1037186,7370
BOSTON PROPERTIES INC,BXP,1037540,6798
NEW ERA OF NETWORKS INC,NEON.,1028339,7372
SIMULATIONS PLUS INC,SLP,1023459,7372
TIB FINANCIAL CORP,TIBB,1013796,6020
AURORA BIOSCIENCES CORP,ABSC,1010919,3826
INDUS REALTY TRUST INC,INDT,1037390,6798
LASER POWER CORP,LPWR.,874019,3827
RWD TECHNOLOGIES INC,RWDT,1032373,7373
SHERIDAN ENERGY INC,SHDN,1018355,1311
SPANISH MOUNTAIN GOLD LTD,SPAZF,1337090,1040
ARM FINANCIAL GROUP INC-CL A,ARMGQ,910562,6311
GREAT PLAINS SOFTWARE INC,GPSI.,758540,7372
ACCLAIM ENERGY TRUST,AE.U,1291993,1311
PEAK INTERNATIONAL LTD,PEAK.1,1036081,3089
PROFESSIONAL TRANSN GRP INC,TRUC,1035120,4213
GEO PETROLEUM INC,3GOPLE,1016275,1311
METRIKA SYSTEMS CORP,MKA.1,1030054,3823
APPLE ORTHODONTIX INC  -CL A,3AOIXQ,1031176,8000
ACORN PRODUCTS INC,ACRN,1036713,3420
SINOPEC BEIJING YANHUA PETRO,BYH,1040472,2821
DOMAIN ENERGY CORP,DXD.1,1037192,1311
PACIFIC PREMIER BANCORP INC,PPBI,1028918,6020
QUINENCO SA,LQ.1,1040649,9997
SAXTON INC,SXTN,1014488,1520
3DFX INTERACTIVE INC,TDFX,1010026,9995
WATERLINK INC,WLKNQ,1037682,3580
800 JR CIGAR INC,JRJR.1,1035507,5961
NEW CENTURY FINANCIAL CORP,NEWCQ,1287286,6798
NXCHAIN INC,NXCN,1039757,9995
GEVITY HR INC,GVHR,1035185,8741
ADV COMMUNICATION SYSTEM INC,ACSC,1035104,4899
COMFORT SYSTEMS USA INC,FIX,1035983,1700
JLK DIRECT DISTR INC  -CL A,JLK,1038243,5084
FIRST ROBINSON FINANCIAL CP,FRFC,1035991,6035
ALBINA COMMUNITY BANCORP,ACBCQ,1009908,6020
HELIX ENERGY SOLUTIONS GROUP,HLX,866829,1389
COMMUNITY FIRST BKG CO/GA,CFBC,1035903,6020
ARCHROCK INC,AROC,1389050,3533
HESKA CORP,HSKA,1038133,2835
MONTGOMERY FINANCIAL CORP,MONT.,1037190,6035
DBM GLOBAL INC,DBMG,1038368,3440
GUIDED THERAPEUTICS INC,GTHP,924515,3845
CENTENNIAL HEALTHCARE CORP,CTEN,1035118,8051
8X8 INC,EGHT,1023731,4899
FIRSTBANK NW CORP/DE,FBNW,1035513,6036
LAI WORLDWIDE INC,LAIX.1,1038315,7361
PERITUS SOFTWARE SVCS INC,3PTUS,1011632,7372
OUTERWALL INC,OUTR,941604,3578
CRESCENT OPERATING INC,COPIQ,1035426,6552
HAGLER BAILLY INC,HBIX,1033693,8742
CARDERO RESOURCE CORP,CDYCF,1303936,1000
MERCATOR SOFTWARE INC,MCTR,1039276,7372
TRANSCEND THERAPEUTICS INC,TSND,1020910,2836
SOUND HEALTH SOLUTIONS INC,SHSO,1035181,8093
FIRST TEAM AUTOMOTIVE CORP,FTA.1,1039145,5500
QUICKLOGIC CORP,QUIK,882508,3674
CLARIENT INC,CLRT,1038223,8734
INX INC,INXI,1020017,7370
TELESCIENCES INC,TLSI,1037002,7373
EQUITY OFFICE PROPERTIES TR,EOP,1038339,6798
GLEN BURNIE BANCORP,GLBZ,890066,6020
WORLD OF SCIENCE INC,WOSI,1035977,5990
FUELSTREAM INC,FLST,1024920,5172
AVIS GROUP HOLDINGS INC,AVI.1,1040445,7510
DCH TECHNOLOGY INC,MDRA,1061786,3669
FIRSTSPARTAN FINANCIAL CORP,FSPT,1035240,6035
GSB FINANCIAL CORP,GOSB,1035351,6035
HORIZON PHARMACIES INC,HZPIQ,1036260,5912
PHSB FINANCIAL CORP,PHSB,1158026,6036
UNIDYNE CORP,UDYN,350678,3829
APOLLO INTL DEL INC,AIOD,1012750,3825
AT HOME CORP,3ATHMQ,1020620,7370
MID-STATE BANCSHARES,MDST.,1027324,6020
ENERNORTH INDUSTRIES INC,ENYNF,1049021,1311
AMICAS INC,AMCS,1028584,7372
METALS USA INC,MUSA.1,1038363,5051
CAPELLA MINERALS LTD,NWDMF,1441412,1000
FIRSTGOLD CORP,FGOCQ,878808,1040
DIALOG GROUP,DLGO,1051059,9995
CENTERPULSE AG,CPSJY,1041073,3842
CORECIVIC INC,CXW,1070985,6798
VIRGINIA COMMONWEALTH FINL,VCFC,862077,6020
CHAMPPS ENTMT INC,CMPP,1040328,5812
DETROIT EDISON CO,DTE1,28385,4911
SAN DIEGO GAS & ELECTRIC CO,SRE4,86521,4931
ILLINOIS POWER CO,ILN1,49816,4931
PACIFIC GAS & ELECTRIC CO,PCG1,75488,4931
SOUTHERN INDIANA GAS&ELECTR,SIG1,92195,4931
WISCONSIN PUBLIC SERVICE CP,WPS1,107833,4931
HOME SECURITY INTL INC,HMSI.,1038262,5063
BJ'S WHOLESALE CLUB INC,BJ.1,1037461,5399
BANK OZK,OZK,1569650,6020
SPIRITS CAP CORP,SSCC,1020186,9995
JONES LANG LASALLE INC,JLL,1037976,6531
SMC VENTURES INC,SMV.H,934801,9995
