conm,tic,cik,sic
ALTAIR CORP-PUERTO RICO,AAIR.1,17592,6799
ALTEC CORP,4156B,4215,3651
ALTERMAN INVESTMENT FUND,3ALRM,315127,5411
ALTERNACARE CORP,ALTN.1,744084,8011
ALTEX OIL CORP,AOC.2,4233,1389
ALTIUS CORP,3044B,4241,3443
ALTON PACKAGING CORP,ALTN..,4253,2600
ALTOS COMPUTER SYS,ALTO.1,1430124,3571
ALTRON INC,ALRN.,741339,3672
ALUMINUM SPECIALTY CO,ALY.2,4288,3390
ALZA CORP,AZA.1,4310,2834
SENTO CORP,SNTO,4317,7373
AMALGAMATED AUTOMOTIVE INDS,7564B,4325,5013
AMALGAMATED SUGAR CO,AGM.2,4339,2060
BESTWAY INC,BSWY,4344,7359
AMAX INC,AMX.2,4363,3334
AMBAC INDUSTRIES INC,AB.1,4368,3714
AMBER RESOURCES CO OF COLO,3AMBEQ,276750,9995
AMBRA OIL & GAS CO,AOGCE,311342,1311
AMBRIT INC,ABI.1,319678,2060
AMBULATORY MEDICAL CARE INC,AMED.,724126,8011
AMCAST INDUSTRIAL CORP,AICOQ,27425,3714
AMCOLE ENERGY CORP,AMLE,4410,4922
AMDISCO CORP,ADSO.1,4786,9995
AMECO INC,AMEC,4435,3663
AMEDCO INC,AMY.1,4436,3990
AMELCO CORP,AMLC,4438,1731
HESS CORP,HES,4447,1311
US AIRWAYS GROUP INC,LCC,701345,4512
AMERICAN ADVENTURE INC,5714B,813606,7997
AMERICAN AGGREGATES CORP,AMAG.1,4504,1400
AMERICAN AIRLINES INC,AMR1,4515,4512
AMERICAN ALLOYS CORP,AMYO,4528,3330
AMCORD INC,AAC.4,4421,3241
AMDAHL CORP,AMH.1,4427,3571
AMERCO,UHAL,4457,7510
AMERICAN BAKERIES CO,ABA.1,4563,2050
AMERICAN BANK NOTE CO,ABN.2,4579,2750
AMERICAN BILTRITE INC,ABLT,4611,2670
AMERICAN BIOMEDICAL CORP,ABMD.,4617,8060
BEAM INC,BEAM.2,789073,2085
AMERICAN BROADCASTING,ABC.2,897584,4833
ABM INDUSTRIES INC,ABM,771497,7340
AMERICAN BUSINESS PRODS/GA,ABP.2,4672,2670
ABI AMERICAN BUSINESSPHONE,AB.2,813608,7385
AMERICAN CAMPGROUNDS  -CL A,1952B,4688,7000
PRIMERICA INC,PRI,1475922,6311
AMERICAN CAPITAL CORP-OLD,ACC.1,4707,1531
AMERICAN CAPITAL CORP,ACCN,760684,6036
INVESCO BOND FUND,VBF,5094,6726
TRANSFINANCIAL HOLDINGS INC,TFHIZ,719271,6153
AMERICAN CENTURY CORP,ACT.2,706169,6036
AMERICAN CLIPPER CORP,ACLP.,205015,3716
AMERICAN COMMUN & TV,3ASTV.,357070,4833
AMERICAN COMMUNITY SERVICES,4643B,707611,8050
AMERICAN CONTINENTAL CORP,AMKKQ,314474,6036
